# Flashcards — Unidade 1: Noções de S.O. e Utilitários
# Formato: Pergunta | Resposta

# ── AULA 1: Conhecendo o Teclado ──────────────────────────────────────────────

Para que serve um software de manutenção como CCleaner? | Limpa arquivos temporários, remove lixo digital e gerencia programas que abrem na inicialização do sistema
O que é o formato PDF e por que é usado para compartilhamento? | Portable Document Format — preserva a formatação original e pode ser aberto em qualquer dispositivo sem alterações
Qual é a característica do 7-Zip (.7z)? | Gratuito, open source e oferece uma das maiores taxas de compressão disponíveis
Qual atalho abre o Explorador de Arquivos? | Win + E

# ── REVISÃO GERAL — Unidade 1 ────────────────────────────────────────────────

Qual é a diferença entre Backspace e Delete? | Backspace apaga o caractere à esquerda do cursor; Delete apaga o caractere à direita do cursor
Quais são os 5 grupos de teclas do teclado? | Alfanuméricas, Teclas Especiais (modificadoras), Função (F1–F12), Navegação (setas/Home/End) e Teclado Numérico
O que é o kernel do S.O.? | Núcleo do sistema operacional que se comunica diretamente com o hardware
Qual é a diferença entre CLI e GUI? | CLI usa comandos de texto (Prompt, Terminal); GUI usa elementos gráficos como ícones, janelas e menus
Quais são os três principais sistemas operacionais para computadores? | Windows (Microsoft), Linux (open source) e macOS (Apple)
Quais são os dois principais sistemas operacionais para smartphones? | Android (Google) e iOS (Apple)
O que é uma distribuição Linux? | Uma versão do Linux com configurações próprias, ex.: Ubuntu, Fedora, Debian, Linux Mint
Para que serve compactar arquivos em .zip antes de enviar por e-mail? | Reduz o tamanho total e agrupa múltiplos arquivos em um único pacote, facilitando o envio
Qual extensão indica um arquivo de planilha do Excel? | .xlsx
Qual é o layout de teclado padrão brasileiro? | ABNT2 — com 105 teclas, ç dedicado e tecla extra entre Shift esquerdo e Z
